"uni_cod";"a_a";"laurea_nome";"laurea_tipo";"laurea_classe_cod";"curr_nome";"materia_nome";"materia_ssd_cod";"materia_cfu";"curr_materia_anno";"curr_materia_periodo";"modulo_nome";"sub_modulo_gruppo";"sub_modulo_nome";"modulo_cfu";"modulo_periodo";"insegnamento_prof";"insegnamento_prof_www";"isbn";"autori";"curatori";"traduttori";"titolo";"editore";"edizione";"anno_pub";"tipo_copertina";"pagg";"lingua";"prezzo";"testo_obb";"testo_uso";"testo_freq";"laurea_iscritti";"laurea_matricole"
"unisi";2021;"BIOLOGIA SANITARIA";"LM";"LM-6";"PERCORSO COMUNE";"ANATOMIA UMANA";"BIO/16";"6";"1";"1";"";"";"";"";"";"Bertelli Eugenio";"https://www.unisi.it/ugov/person/9693";"9788808720238";"Michael H. Ross, Wojciech Pawlina";"Gigliola Sica, Maria Giovanna Prat";"";"Istologia. Testo e atlante. Con elementi di biologia cellulare e molecolare. Con e-book";"Cea";"3";"2021";"Brossura";"1072";"Italiano";112.00;"obb";"tutto";"tutti";260;92
"unisi";2021;"MEDICINA E CHIRURGIA";"LMCU";"LM-41";"PERCORSO COMUNE";"C.I. DI ISTOLOGIA E EMBRIOLOGIA GENERALE";"BIO/17";"8";"1";"2";"ISTOLOGIA ED EMBRIOLOGIA GENERALE I";"";"";"4";"2";"Sorrentino Vincenzo";"https://www.unisi.it/ugov/person/10742";"9788808720238";"Michael H. Ross, Wojciech Pawlina";"Gigliola Sica, Maria Giovanna Prat";"";"Istologia. Testo e atlante. Con elementi di biologia cellulare e molecolare. Con e-book";"Cea";"3";"2021";"Brossura";"1072";"Italiano";112.00;"obb";"tutto";"tutti";1758;249
"unisi";2021;"MEDICINA E CHIRURGIA";"LMCU";"LM-41";"PERCORSO COMUNE";"C.I. DI ISTOLOGIA E EMBRIOLOGIA GENERALE";"BIO/17";"8";"1";"2";"ISTOLOGIA ED EMBRIOLOGIA GENERALE II";"";"";"3";"2";"Sorrentino Vincenzo";"https://www.unisi.it/ugov/person/10742";"9788808720238";"Michael H. Ross, Wojciech Pawlina";"Gigliola Sica, Maria Giovanna Prat";"";"Istologia. Testo e atlante. Con elementi di biologia cellulare e molecolare. Con e-book";"Cea";"3";"2021";"Brossura";"1072";"Italiano";112.00;"obb";"tutto";"tutti";1758;249
"unisi";2021;"SCIENZE AMBIENTALI E NATURALI";"L";"L-32";"PERCORSO COMUNE";"BIOLOGIA";"BIO/05";"9";"1";"2";"";"";"";"";"";"Marchini Daniela";"https://www.unisi.it/ugov/person/10432";"9788808720238";"Michael H. Ross, Wojciech Pawlina";"Gigliola Sica, Maria Giovanna Prat";"";"Istologia. Testo e atlante. Con elementi di biologia cellulare e molecolare. Con e-book";"Cea";"3";"2021";"Brossura";"1072";"Italiano";112.00;"cons";"tutto";"tutti";135;45
"unisi";2021;"SCIENZE STORICHE E DEL PATRIMONIO CULTURALE";"L";"L-1";"STORIA E DOCUMENTAZIONE";"ESEGESI DELLE FONTI PER LA STORIA MEDIEVALE";"M-STO/01";"6";"3";"1";"";"";"";"";"";"Ginatempo Maria Ausiliatrice";"https://www.unisi.it/ugov/person/9977";"9788843083084";"Paolo Cammarosano";"";"";"Italia medievale. Struttura e geografia delle fonti scritte";"Carocci";"";"2016";"Brossura";"389";"Italiano";15.00;"obb";"tutto";"tutti";406;91
"unisi";2021;"SCIENZE STORICHE E DEL PATRIMONIO CULTURALE";"L";"L-1";"STORIA E DOCUMENTAZIONE";"ISTITUZIONI MEDIEVALI";"M-STO/01";"6";"3";"1";"";"";"";"";"";"Mucciarelli Roberta";"https://www.unisi.it/ugov/person/8221";"9788843083084";"Paolo Cammarosano";"";"";"Italia medievale. Struttura e geografia delle fonti scritte";"Carocci";"";"2016";"Brossura";"389";"Italiano";15.00;"obb";"parz.";"tutti";406;91
"unisi";2021;"STORIA E FILOSOFIA";"LM";"LM-78";"STORIA E FILOSOFIA  (SEDE SIENA)";"FONTI DOCUMENTARIE E D'ARCHIVIO PER LA STORIA MEDIEVALE/LS";"M-STO/01";"6";"1";"1";"";"";"";"";"";"Pellegrini Michele";"https://www.unisi.it/ugov/person/6948";"9788843083084";"Paolo Cammarosano";"";"";"Italia medievale. Struttura e geografia delle fonti scritte";"Carocci";"";"2016";"Brossura";"389";"Italiano";15.00;"obb";"parz.";"tutti";35;18
"unisi";2021;"STORIA E FILOSOFIA";"LM";"LM-78";"STORIA E FILOSOFIA  (SEDE SIENA)";"STORIA ECONOMICA E SOCIALE DEL MEDIOEVO/LS";"M-STO/01";"6";"1";"2";"";"";"";"";"";"Ginatempo Maria Ausiliatrice";"https://www.unisi.it/ugov/person/9977";"9788843083084";"Paolo Cammarosano";"";"";"Italia medievale. Struttura e geografia delle fonti scritte";"Carocci";"";"2016";"Brossura";"389";"Italiano";15.00;"obb";"tutto";"tutti";35;18
"unisi";2021;"STORIA DELL'ARTE";"LM";"LM-89";"PERCORSO COMUNE";"STORIA DELL'ARTE CONTEMPORANEA/LS";"L-ART/03";"6";"1";"2";"";"";"";"";"";"Lacagnina Davide";"https://www.unisi.it/ugov/person/2224";"9783791309071";"";"Emily Braun";"";"Italian Art in the 20th Century: Painting and Sculpture 1900-1988";"Prestel";"";"1989";"Cartonato";"472";"Inglese";68.00;"obb";"tutto";"tutti";99;35
"unisi";2021;"SCIENZE ECONOMICHE E BANCARIE";"L";"L-33";"ECONOMICS AND BANKING";"PRIVATE LAW";"IUS/01";"9";"2";"1";"";"";"";"";"";"D'Auria Massimo";"https://www.unisi.it/ugov/person/2347";"9781844720514";"Guido Alpa, Vincenzo Zeno-Zencovich";"";"";"Italian Private Law";"Routledge";"1";"2007";"Cartonato";"312";"Inglese";131.25;"obb";"tutto";"tutti";456;99
"unisi";2021;"SCIENZE DEL SERVIZIO SOCIALE";"L";"L-39";"PERCORSO COMUNE";"SOCIOLOGIA";"SPS/07";"12";"1";"1";"";"";"";"";"";"Berti Fabio";"https://www.unisi.it/ugov/person/9928";"9788857557229";"";"Marco Alberio, Fabio Berti";"";"Italiani che lasciano l'Italia. Le nuove emigrazioni al tempo della crisi";"Mimesis";"";"2020";"Brossura";"242";"Italiano";22.00;"cons";"tutto";"non freq";246;72
"unisi";2021;"STUDI LETTERARI E FILOSOFICI";"L";"L-10";"FILOSOFIA";"LABORATORIO DI SCRITTURA";"";"";"1";"1";"";"";"";"";"";"Scaffai Niccolo'";"https://www.unisi.it/ugov/person/1504";"9788815239273";"Luca Serianni";"";"";"Italiani scritti. Con esercizi a cura di Emiliano Picchiorri e Maria Silvia Rati";"Il Mulino";"3";"2012";"Brossura";"229";"Italiano";20.00;"cons";"tutto";"tutti";402;125
"unisi";2021;"STUDI LETTERARI E FILOSOFICI";"L";"L-10";"LETTERE CLASSICHE";"LABORATORIO DI SCRITTURA";"";"";"1";"1";"";"";"";"";"";"Scaffai Niccolo'";"https://www.unisi.it/ugov/person/1504";"9788815239273";"Luca Serianni";"";"";"Italiani scritti. Con esercizi a cura di Emiliano Picchiorri e Maria Silvia Rati";"Il Mulino";"3";"2012";"Brossura";"229";"Italiano";20.00;"cons";"tutto";"tutti";402;125
"unisi";2021;"STUDI LETTERARI E FILOSOFICI";"L";"L-10";"LETTERE MODERNE";"LABORATORIO DI SCRITTURA";"";"";"1";"1";"";"";"";"";"";"Scaffai Niccolo'";"https://www.unisi.it/ugov/person/1504";"9788815239273";"Luca Serianni";"";"";"Italiani scritti. Con esercizi a cura di Emiliano Picchiorri e Maria Silvia Rati";"Il Mulino";"3";"2012";"Brossura";"229";"Italiano";20.00;"cons";"tutto";"tutti";402;125
"unisi";2021;"SCIENZE DELLA COMUNICAZIONE";"L";"L-20";"PERCORSO COMUNE";"PUBBLICITA', COMUNICAZIONE E CONSUMI";"SPS/08";"6";"3";"2";"";"";"";"";"";"Freschi Anna Carola";"https://www.unisi.it/ugov/person/165231";"9783030156831";"";"Roberta Sassatelli";"";"Italians and Food";"Palgrave MacMillan Springer";"";"2020";"Brossura";"304";"Inglese";68.88;"in alt";"tutto";"non freq";437;136
"unisi";2021;"LETTERE MODERNE";"LM";"LM-14";"FILOLOGICO, LINGUISTICO E LETTERARIO";"LETTERATURA ITALIANA CONTEMPORANEA II/LS";"L-FIL-LET/11";"9";"1";"2";"";"";"";"";"";"Bucciantini Massimo";"https://www.unisi.it/ugov/person/10089";"9788815118462";"Mario Barenghi";"";"";"Italo Calvino, le linee e i margini";"Il Mulino";"";"2007";"Brossura";"288";"Italiano";25.00;"obb";"tutto";"tutti";164;63
"unisi";2021;"LETTERE MODERNE";"LM";"LM-14";"LETTERATURE STRANIERE";"LETTERATURA ITALIANA CONTEMPORANEA II/LS";"L-FIL-LET/11";"9";"1";"2";"";"";"";"";"";"Bucciantini Massimo";"https://www.unisi.it/ugov/person/10089";"9788815118462";"Mario Barenghi";"";"";"Italo Calvino, le linee e i margini";"Il Mulino";"";"2007";"Brossura";"288";"Italiano";25.00;"obb";"tutto";"tutti";164;63
"unisi";2021;"ARCHEOLOGIA";"LM";"LM-2";"PERCORSO COMUNE";"ARCHEOLOGIA DELL'ITALIA MEDIEVALE";"L-ANT/08";"9";"1";"2";"";"";"";"";"";"Bianchi Giovanna";"https://www.unisi.it/ugov/person/4744";"9780198777601";"";"Ross Balzaretti, Julia Barrow, Patricia Skinner";"";"Italy and Early Medieval Europe: Papers for Chris Wickham";"Oxford University Press-OUP";"";"2018";"Cartonato";"592";"Inglese";101.99;"obb";"parz.";"tutti";55;10
"unisi";2021;"LINGUE PER LA COMUNICAZIONE INTERCULTURALE E D'IMPRESA";"L";"L-11";"LINGUE PER L'IMPRESA";"DIGITAL MEDIA STUDIES";"L-LIN/11";"6";"2";"2";"";"";"";"";"";"Siniscalco Federico";"https://www.unisi.it/ugov/person/9390";"9780679770237";"";"Alice Leccese Powers";"";"Italy in Mind: An Anthology";"Vintage Books";"";"1997";"Brossura";"349";"Inglese";18.47;"obb";"parz.";"tutti";602;144
"unisi";2021;"LINGUE PER LA COMUNICAZIONE INTERCULTURALE E D'IMPRESA";"L";"L-11";"LINGUE PER LA COMUNICAZIONE INTERCULTURALE";"DIGITAL MEDIA STUDIES";"L-LIN/11";"6";"2";"2";"";"";"";"";"";"Siniscalco Federico";"https://www.unisi.it/ugov/person/9390";"9780679770237";"";"Alice Leccese Powers";"";"Italy in Mind: An Anthology";"Vintage Books";"";"1997";"Brossura";"349";"Inglese";18.47;"obb";"parz.";"tutti";602;144
"unisi";2021;"DENTISTRY AND DENTAL PROSTHODONTICS";"LMCU";"LM-46";"PERCORSO COMUNE";"I.C. MICROBIOLOGY AND HYGIENE";"MED/07; MED/42; MED/50";"13";"3";"A";"GENERAL AND APPLIED HYGIENE 1";"";"";"4";"A";"Pozzi Teresa";"https://www.unisi.it/ugov/person/10472";"9780323642019";"Joann G. Elmore, Dorothea Wild, Heidi D. Nelson, David L. Katz";"";"";"Jekel's Epidemiology, Biostatistics, Preventive Medicine, and Public Health";"Elsevier";"5";"2020";"Brossura";"451";"Inglese";61.65;"obb";"tutto";"tutti";193;42
"unisi";2021;"SCIENZE STORICHE E DEL PATRIMONIO CULTURALE";"L";"L-1";"SPETTACOLO";"LINEAMENTI DI STORIA DELLA MUSICA";"L-ART/07";"6";"3";"2";"";"";"";"";"";"Giovani Giulia";"https://www.unisi.it/ugov/person/98151";"9788895803005";"Germana Schiassi";"";"";"Johann Sebastian Bach. Le variazioni Goldberg";"Albisani Editore";"";"2007";"Brossura";"120";"Italiano";13.50;"obb";"parz.";"tutti";406;91
"unisi";2021;"LETTERE MODERNE";"LM";"LM-14";"FILOLOGICO, LINGUISTICO E LETTERARIO";"LETTERATURA PORTOGHESE E BRASILIANA A";"L-LIN/08";"9";"2";"2";"";"";"";"";"";"Milani Ada";"";"9788806177188";"Jorge Amado";"";"Dario Puccini, Elio Califano";"Jubiabá";"Einaudi";"";"2006";"Brossura";"420";"Italiano";12.50;"obb";"tutto";"tutti";164;63
"unisi";2021;"FISIOTERAPIA (ABILITANTE ALLA PROFESSIONE SANITARIA DI FISIOTERAPISTA)";"L";"L/SNT2";"SEDE SIENA";"C.I. DI FISIOTERAPIA IN AMBITO MUSCOLO SCHELETRICO";"MED/16; MED/33; MED/48";"8";"2";"1";"REUMATOLOGIA";"";"";"1";"1";"Frediani Bruno";"https://www.unisi.it/ugov/person/10566";"9780323639200";"Gary S. Firestein, Ralph C. Budd, Sherine E Gabriel, Iain B. McInnes, James R. O'dell";"";"";"Kelley & Firestein's Textbook of Rheumatology. (2 Volume Set)";"Elsevier";"11";"2020";"Cartonato";"2288";"Inglese";384.50;"obb";"tutto";"tutti";70;25
