"uni_cod";"a_a";"laurea_nome";"laurea_tipo";"laurea_classe_cod";"curr_nome";"materia_nome";"materia_ssd_cod";"materia_cfu";"curr_materia_anno";"curr_materia_periodo";"modulo_nome";"sub_modulo_gruppo";"sub_modulo_nome";"modulo_cfu";"modulo_periodo";"insegnamento_prof";"insegnamento_prof_www";"isbn";"autori";"curatori";"traduttori";"titolo";"editore";"edizione";"anno_pub";"tipo_copertina";"pagg";"lingua";"prezzo";"testo_obb";"testo_uso";"testo_freq";"laurea_iscritti";"laurea_matricole"
"unife";2021;"INFERMIERISTICA (ABILITANTE ALLA PROFESSIONE SANITARIA DI INFERMIERE) - SEDE DI PIEVE DI CENTO";"L";"L/SNT1";"PERCORSO COMUNE";"ATTIVITA' FORMATIVE PROFESSIONALIZZANTI SECONDO ANNO";"MED/45";"10";"2";"2";"";"";"";"";"";"Marianna Pirani (Tit.)";"https://studiare.unife.it/Guide/Guide/PaginaDocente.do?docente_id=5843";"9788808187901";"Janice L. Hinkle, Kerry H. Cheever";"Giorgio Nebuloni";"";"Brunner-Suddarth. Infermieristica medico-chirurgica vol.2";"Cea";"5";"2017";"Brossura";"992";"Italiano";96.50;"obb";"tutto";"tutti";194;62
"unife";2021;"INFERMIERISTICA (ABILITANTE ALLA PROFESSIONE SANITARIA DI INFERMIERE) - SEDE DI PIEVE DI CENTO";"L";"L/SNT1";"PERCORSO COMUNE";"INFERMIERISTICA CLINICA IN AREA CHIRURGICA";"MED/18; MED/33; MED/41; MED/45";"8";"2";"2";"";"";"";"";"";"Paolo Carcoforo (Tit.) (ed altri)";"https://studiare.unife.it/Guide/Guide/PaginaDocente.do?docente_id=524";"9788808187901";"Janice L. Hinkle, Kerry H. Cheever";"Giorgio Nebuloni";"";"Brunner-Suddarth. Infermieristica medico-chirurgica vol.2";"Cea";"5";"2017";"Brossura";"992";"Italiano";96.50;"obb";"tutto";"tutti";194;62
"unife";2021;"OSTETRICIA (ABILITANTE ALLA PROFESSIONE SANITARIA DI OSTETRICA/O)";"L";"L/SNT1";"PERCORSO COMUNE";"OSTETRICIA E GINECOLOGIA NELLA CRITICITA' VITALE";"MED/18; MED/36; MED/41; MED/47";"7";"2";"2";"";"";"";"";"";"Savino Occhionorelli (Tit.) (ed altri)";"https://studiare.unife.it/Guide/Guide/PaginaDocente.do?docente_id=4776";"9788808187901";"Janice L. Hinkle, Kerry H. Cheever";"Giorgio Nebuloni";"";"Brunner-Suddarth. Infermieristica medico-chirurgica vol.2";"Cea";"5";"2017";"Brossura";"992";"Italiano";96.50;"obb";"tutto";"tutti";89;47
"unife";2021;"QUATERNARIO, PREISTORIA E ARCHEOLOGIA";"LM";"LM-2";"PERCORSO COMUNE";"STORIA E ARCHEOLOGIA DEL VICINO ORIENTE ANTICO";"L-OR/01";"6";"2";"2";"";"";"";"";"";"Luigi Turri (Tit.)";"https://studiare.unife.it/Guide/Guide/PaginaDocente.do?docente_id=519264";"9789004416598";"Marwan Kilani";"";"";"Byblos in the Late Bronze Age: Interactions Between the Levantine and Egyptian Worlds";"Brill Academic";"";"2019";"Cartonato";"324";"Inglese";180.00;"fac";"tutto";"tutti";141;34
"unife";2021;"LETTERE, ARTI E ARCHEOLOGIA";"L";"L-10";"PERCORSO COMUNE";"LINGUA TEDESCA";"L-LIN/14";"6";"1";"2";"";"";"";"";"";"Andrea Meta Birk (Tit.)";"https://studiare.unife.it/Guide/Guide/PaginaDocente.do?docente_id=515053";"9783941323117";"Anne Buscha, Szilvia Szita, Susanne Raven";"";"";"C - Grammatik. Sprachniveau C1-C2. Übungsgrammatik Deutsch als Fremdsprache";"Schubert Verlag";"";"2012";"Brossura";"240";"Tedesco";23.46;"obb";"tutto";"tutti";314;73
"unife";2021;"LINGUE E LETTERATURE STRANIERE";"LM";"LM-37";"LINGUE, LETTERATURE E TRADUZIONE";"LINGUA TEDESCA";"L-LIN/14";"6";"1";"1";"";"";"";"";"";"Andrea Meta Birk (Tit.)";"https://studiare.unife.it/Guide/Guide/PaginaDocente.do?docente_id=515053";"9783941323117";"Anne Buscha, Szilvia Szita, Susanne Raven";"";"";"C - Grammatik. Sprachniveau C1-C2. Übungsgrammatik Deutsch als Fremdsprache";"Schubert Verlag";"";"2012";"Brossura";"240";"Tedesco";23.46;"obb";"tutto";"tutti";193;76
"unife";2021;"LINGUE E LETTERATURE STRANIERE";"LM";"LM-37";"PERCORSO COMUNE";"APPROFONDIMENTI DI LINGUA TEDESCA";"L-LIN/14";"6";"2";"A";"";"";"";"";"";"Andrea Meta Birk (Tit.)";"https://studiare.unife.it/Guide/Guide/PaginaDocente.do?docente_id=515053";"9783941323117";"Anne Buscha, Szilvia Szita, Susanne Raven";"";"";"C - Grammatik. Sprachniveau C1-C2. Übungsgrammatik Deutsch als Fremdsprache";"Schubert Verlag";"";"2012";"Brossura";"240";"Tedesco";23.46;"obb";"tutto";"tutti";193;76
"unife";2021;"FISICA";"L";"L-30";"PERCORSO COMUNE";"LABORATORIO DI FISICA CON ELEMENTI DI STATISTICA E INFORMATICA";"FIS/01; INF/01";"12";"1";"A";"";"";"";"";"";"Eleonora Luppi (Tit.) (ed altri)";"https://studiare.unife.it/Guide/Guide/PaginaDocente.do?docente_id=1007";"9780131103627";"Brian W. Kernighan, Dennis M. Ritchie";"";"";"C Programming Language";"Pearson";"2";"1988";"Brossura";"274";"Inglese";65.17;"fac";"tutto";"tutti";159;43
"unife";2021;"FISICA";"L";"L-30";"PERCORSO COMUNE";"PHYSICS OF ELECTRONIC DEVICES";"FIS/01";"6";"2";"1";"";"";"";"";"";"Angelo Cotta Ramusino (Tit.)";"https://studiare.unife.it/Guide/Guide/PaginaDocente.do?docente_id=514626";"9781119481515";"R. Jacob Baker";"";"";"CMOS: Circuit Design, Layout, and Simulation";"Wiley - IEEE Press";"4";"2019";"Cartonato";"1235";"Inglese";136.56;"obb";"tutto";"tutti";159;43
"unife";2021;"FISICA";"LM";"LM-17";"PERCORSO COMUNE";"PHYSICS OF ELECTRONIC DEVICES";"FIS/01";"6";"1";"1";"";"";"";"";"";"Angelo Cotta Ramusino (Tit.)";"https://studiare.unife.it/Guide/Guide/PaginaDocente.do?docente_id=514626";"9781119481515";"R. Jacob Baker";"";"";"CMOS: Circuit Design, Layout, and Simulation";"Wiley - IEEE Press";"4";"2019";"Cartonato";"1235";"Inglese";136.56;"obb";"tutto";"tutti";0;0
