"uni_cod";"a_a";"laurea_nome";"laurea_tipo";"laurea_classe_cod";"curr_nome";"materia_nome";"materia_ssd_cod";"materia_cfu";"curr_materia_anno";"curr_materia_periodo";"modulo_nome";"sub_modulo_gruppo";"sub_modulo_nome";"modulo_cfu";"modulo_periodo";"insegnamento_prof";"insegnamento_prof_www";"isbn";"autori";"curatori";"traduttori";"titolo";"editore";"edizione";"anno_pub";"tipo_copertina";"pagg";"lingua";"prezzo";"testo_obb";"testo_uso";"testo_freq";"laurea_iscritti";"laurea_matricole"
"unich";2021;"DESIGN";"L";"L-4";"CORSO GENERICO";"LABORATORIO C - DESIGN DELLA COMUNICAZIONE";"ICAR/13; INF/01; M-FIL/05";"20";"3";"2";"MEDIA & EXPERIENCE DESIGN";"";"";"8";"2";"Massacesi Raffaella";"https://www.unich.it/ugov/person/1920";"9788842420057";"John Maeda";"";"M. Faillo";"Le leggi della semplicità";"Mondadori Bruno Pearson";"";"2006";"Brossura";"147";"Italiano";10.00;"cons";"tutto";"tutti";356;75
"unich";2021;"BENI ARCHEOLOGICI E STORICO-ARTISTICI";"LM";"LM-2";"CORSO GENERICO";"LETTERATURA ITALIANA MODERNA E CONTEMPORANEA";"L-FIL-LET/11";"6";"2";"2";"";"";"";"";"";"Gialloreto Andrea";"https://www.unich.it/ugov/person/1135";"9788804670247";"Mario Tobino";"";"";"Le libere donne di Magliano";"Mondadori";"2";"2016";"Brossura";"168";"Italiano";12.00;"obb";"tutto";"tutti";41;13
"unich";2021;"FILOLOGIA, LINGUISTICA E TRADIZIONI LETTERARIE";"LM";"LM-14";"CORSO GENERICO";"CRITICA LETTERARIA DELL'ITALIA CONTEMPORANEA";"L-FIL-LET/11";"6";"1";"2";"";"";"";"";"";"Gialloreto Andrea";"https://www.unich.it/ugov/person/1135";"9788804670247";"Mario Tobino";"";"";"Le libere donne di Magliano";"Mondadori";"2";"2016";"Brossura";"168";"Italiano";12.00;"obb";"tutto";"tutti";231;78
"unich";2021;"FILOLOGIA, LINGUISTICA E TRADIZIONI LETTERARIE";"LM";"LM-14";"CORSO GENERICO";"LETTERATURA ITALIANA MODERNA E CONTEMPORANEA";"L-FIL-LET/11";"6";"1";"2";"";"";"";"";"";"Gialloreto Andrea";"https://www.unich.it/ugov/person/1135";"9788804670247";"Mario Tobino";"";"";"Le libere donne di Magliano";"Mondadori";"2";"2016";"Brossura";"168";"Italiano";12.00;"obb";"tutto";"tutti";231;78
"unich";2021;"LINGUE E LETTERATURE STRANIERE";"L";"L-11";"CORSO GENERICO";"FILOLOGIA GERMANICA I";"L-FIL-LET/15";"8";"2";"1";"";"";"";"";"";"Cianci Eleonora";"https://www.unich.it/ugov/person/1442";"9788820507541";"M. Grazia Andreotti Saibene";"";"";"Le lingue germaniche antiche. Origine e sviluppo";"Cisalpino";"";"1996";"";"XVII-446";"Italiano";49.00;"obb";"parz.";"tutti";537;125
"unich";2021;"LINGUE, LETTERATURE E CULTURE MODERNE";"LM";"LM-37";"CORSO GENERICO";"FILOLOGIA GERMANICA I";"L-FIL-LET/15";"6";"2";"1";"";"";"";"";"";"Cianci Eleonora";"https://www.unich.it/ugov/person/1442";"9788820507541";"M. Grazia Andreotti Saibene";"";"";"Le lingue germaniche antiche. Origine e sviluppo";"Cisalpino";"";"1996";"";"XVII-446";"Italiano";49.00;"obb";"parz.";"tutti";171;43
"unich";2021;"MEDIAZIONE LINGUISTICA E COMUNICAZIONE INTERCULTURALE";"L";"L-12";"CORSO GENERICO";"FILOLOGIA GERMANICA I";"L-FIL-LET/15";"6";"2";"1";"";"";"";"";"";"Cianci Eleonora";"https://www.unich.it/ugov/person/1442";"9788820507541";"M. Grazia Andreotti Saibene";"";"";"Le lingue germaniche antiche. Origine e sviluppo";"Cisalpino";"";"1996";"";"XVII-446";"Italiano";49.00;"obb";"parz.";"tutti";878;186
"unich";2021;"LINGUE E LETTERATURE STRANIERE";"L";"L-11";"CORSO GENERICO";"FILOLOGIA E LINGUISTICA ROMANZA I";"L-FIL-LET/09";"8";"2";"2";"";"";"";"";"";"Fedi Beatrice";"https://www.unich.it/ugov/person/1725";"9788859300328";"Marcello Barbato";"";"";"Le lingue romanze. Profilo storico-comparativo";"Laterza";"";"2017";"Brossura";"178";"Italiano";20.00;"obb";"tutto";"tutti";537;125
"unich";2021;"LINGUE, LETTERATURE E CULTURE MODERNE";"LM";"LM-37";"CORSO GENERICO";"FILOLOGIA E LINGUISTICA ROMANZA I";"L-FIL-LET/09";"6";"2";"2";"";"";"";"";"";"Fedi Beatrice";"https://www.unich.it/ugov/person/1725";"9788859300328";"Marcello Barbato";"";"";"Le lingue romanze. Profilo storico-comparativo";"Laterza";"";"2017";"Brossura";"178";"Italiano";20.00;"obb";"tutto";"tutti";171;43
"unich";2021;"MEDIAZIONE LINGUISTICA E COMUNICAZIONE INTERCULTURALE";"L";"L-12";"CORSO GENERICO";"FILOLOGIA E LINGUISTICA ROMANZA I";"L-FIL-LET/09";"6";"3";"2";"";"";"";"";"";"Fedi Beatrice";"https://www.unich.it/ugov/person/1725";"9788859300328";"Marcello Barbato";"";"";"Le lingue romanze. Profilo storico-comparativo";"Laterza";"";"2017";"Brossura";"178";"Italiano";20.00;"obb";"tutto";"tutti";878;186
"unich";2021;"ARCHITETTURA";"LMCU";"LM-4CU";"CORSO GENERICO";"URBANISTICA 2";"ICAR/21";"10";"2";"2";"";"";"GRUPPO B";"";"";"Rovigatti Pietro";"https://www.unich.it/ugov/person/1000";"9788868439880";"Keti Lelo, Salvatore Monni, Federico Tomassi";"";"";"Le mappe della disuguaglianza. Una geografia sociale metropolitana";"Donzelli";"";"2019";"Brossura";"203";"Italiano";22.00;"obb";"tutto";"tutti";592;74
"unich";2021;"FILOLOGIA, LINGUISTICA E TRADIZIONI LETTERARIE";"LM";"LM-14";"CORSO GENERICO";"LETTERATURA E DRAMMATURGIA DELL'ETA' ROMANTICA";"L-FIL-LET/10";"6";"1";"1";"";"";"";"";"";"Pasquini Luciana";"https://www.unich.it/ugov/person/1500";"9788817124607";"Silvio Pellico";"";"";"Le mie prigioni";"BUR - Rizzoli";"1";"1984";"";"416";"Italiano";10.00;"obb";"tutto";"tutti";231;78
"unich";2021;"FILOLOGIA, LINGUISTICA E TRADIZIONI LETTERARIE";"LM";"LM-14";"CORSO GENERICO";"TESTI E QUESTIONI DI LETTERATURA ITALIANA E LETTERATURA E DRAMMATURGIA DELL'ETA' ROMANTICA";"L-FIL-LET/10";"12";"1";"1";"LETTERATURA E DRAMMATURGIA DELL'ETA' ROMANTICA";"";"";"6";"1";"Pasquini Luciana";"https://www.unich.it/ugov/person/1500";"9788817124607";"Silvio Pellico";"";"";"Le mie prigioni";"BUR - Rizzoli";"1";"1984";"";"416";"Italiano";10.00;"obb";"tutto";"tutti";231;78
"unich";2021;"ECONOMIA E BUSINESS ANALYTICS";"LM";"LM-56";"CORSO GENERICO";"ECONOMIA DELLA CRESCITA E DEL CAMBIAMENTO TECNOLOGICO";"SECS-P/01";"9";"1";"2";"";"";"";"";"";"Del Gatto Massimo";"https://www.unich.it/ugov/person/5588";"9788815113139";"Giorgio Barba Navaretti, Anthony J. Venables";"";"L. Berti";"Le multinazionali nell'economia mondiale";"Il Mulino";"";"2006";"Brossura";"230";"Italiano";21.00;"obb";"tutto";"tutti";57;18
"unich";2021;"ECONOMIA E COMMERCIO";"LM";"LM-56";"ECONOMIA E COMMERCIO";"ECONOMIA INTERNAZIONALE";"";"9";"2";"2";"";"";"";"";"";"Del Gatto Massimo";"https://www.unich.it/ugov/person/5588";"9788815113139";"Giorgio Barba Navaretti, Anthony J. Venables";"";"L. Berti";"Le multinazionali nell'economia mondiale";"Il Mulino";"";"2006";"Brossura";"230";"Italiano";21.00;"obb";"tutto";"tutti";89;27
"unich";2021;"ECONOMIA E COMMERCIO";"LM";"LM-56";"ECONOMIA E COMMERCIO";"MACROECONOMIA AVANZATA";"SECS-P/01";"6";"2";"2";"";"";"";"";"";"Del Gatto Massimo";"https://www.unich.it/ugov/person/5588";"9788815113139";"Giorgio Barba Navaretti, Anthony J. Venables";"";"L. Berti";"Le multinazionali nell'economia mondiale";"Il Mulino";"";"2006";"Brossura";"230";"Italiano";21.00;"obb";"tutto";"tutti";89;27
"unich";2021;"ECONOMIA E COMMERCIO";"LM";"LM-56";"ECONOMIA E FINANZA";"ECONOMIA INTERNAZIONALE";"";"9";"1";"2";"";"";"";"";"";"Del Gatto Massimo";"https://www.unich.it/ugov/person/5588";"9788815113139";"Giorgio Barba Navaretti, Anthony J. Venables";"";"L. Berti";"Le multinazionali nell'economia mondiale";"Il Mulino";"";"2006";"Brossura";"230";"Italiano";21.00;"obb";"tutto";"tutti";89;27
